class;alpha;delta;u;g;r;i;z;run_ID;cam_col;field_ID;redshift;plate;MJD;fiber_ID
GALAXY;337.0934355;-0.31177327;20.15491;18.37295;17.31276;16.82294;16.44342;4192;3;203;0.1482283;376;52143;231
GALAXY;252.7585486;19.49352687;24.36048;20.3777;18.53392;17.84004;17.44505;3927;4;180;0.3846326;1568;53169;199
GALAXY;240.2139089;27.96429085;23.08039;22.02426;20.80525;19.90149;19.37544;3927;4;85;0.546072;4725;55711;141
GALAXY;255.5748935;45.47870292;23.73066;22.82349;21.32414;19.81448;19.28439;5416;5;12;0.7491816;6025;56098;313
QSO;20.05255573;11.49788077;21.89214;21.35124;21.18755;20.843;20.7658;7773;2;441;1.528308;11074;58488;306
GALAXY;144.721737;5.846847285;22.88916;21.63309;20.06106;19.13263;18.9481;6574;4;198;0.5091722;4872;55944;375
GALAXY;44.92336027;3.175548751;23.8628;22.7784;20.98458;19.70143;19.24533;7675;6;168;0.5981273;4257;55480;987
GALAXY;136.2630712;3.944003082;24.06677;23.00891;21.0967;20.12869;19.68312;2126;5;114;0.5215806;3817;55277;833
GALAXY;140.5129827;45.40361267;20.71552;18.85877;17.72017;17.24668;16.87722;2777;3;225;0.1769632;833;52314;229
STAR;136.4183782;36.15267852;20.66654;22.21825;24.8026;21.43702;22.82647;3530;4;138;0.000308486;10241;58157;799
GALAXY;121.6100097;41.92872069;22.42006;21.26692;19.40369;18.74999;18.26678;6573;3;245;0.349364;3803;55513;703
STAR;181.6453305;42.27399522;21.20149;19.77107;19.27176;19.04226;18.9441;3893;3;158;4.83E-05;8382;57513;919
GALAXY;146.9257842;14.88003749;25.52618;22.45513;21.82048;20.83807;20.28395;5972;6;211;0.8072085;9587;57784;357
GALAXY;179.698615;33.67319762;23.27982;20.35433;18.79782;18.13757;17.74069;4576;1;419;0.2701222;4601;55589;862
GALAXY;332.0871561;17.41592025;27.0971;22.56329;20.61106;19.698;19.07937;8096;4;51;0.5719764;5029;55750;452
GALAXY;188.0680012;7.561201476;22.26849;21.88272;19.86473;18.81373;18.06582;3841;4;155;0.5932347;5402;55927;183
STAR;344.7698884;26.92854864;22.33744;20.02736;19.2826;19.04074;18.90521;6366;4;69;-9.96E-05;7706;57575;344
GALAXY;40.79574267;3.564368114;22.79262;22.29579;22.23841;21.55672;21.01273;7718;2;261;1.065883;9417;58055;748
QSO;228.4477283;12.74503193;22.36261;21.7106;21.5963;21.60179;21.12727;5322;3;125;2.689002;5488;56013;320
QSO;345.221147;2.593461754;21.90143;21.79169;21.44344;21.25545;21.07686;7712;4;231;1.289637;11303;58428;340
GALAXY;129.6280955;29.05905655;24.91692;21.27143;19.59078;18.90489;18.49419;3606;2;37;0.3208058;1268;52933;113
GALAXY;129.1990205;28.70175406;23.01294;20.46514;18.83662;18.16925;17.73204;3606;2;34;0.3466544;1268;52933;144
QSO;168.7266013;27.6809253;21.65936;21.73216;21.61713;21.60229;21.24192;5112;6;385;1.007728;11357;58522;220
GALAXY;341.3918991;-0.3176731;22.92673;23.03158;22.75313;21.40591;20.70943;4192;3;231;0.8201154;9207;57667;206
GALAXY;355.1751317;11.84861064;22.7706;22.25927;20.1723;19.13553;18.60195;7773;2;279;0.5075994;6158;56239;797
GALAXY;5.016618104;11.95733598;22.29616;20.17357;18.60767;17.99611;17.59206;7773;2;343;0.2520262;6189;56237;668
GALAXY;117.8254525;28.94828104;21.78552;21.67436;21.9174;20.55012;19.68962;2777;3;63;0;10287;58101;533
GALAXY;7.295167962;15.2714948;22.72659;22.31748;20.5118;19.45051;18.86085;1904;4;198;0.5326954;6191;56248;711
GALAXY;242.0735629;30.73984433;20.75533;18.52615;17.34166;16.82644;16.42062;3926;4;109;0.1566293;1406;52876;328
GALAXY;238.4858024;33.12477863;25.519;22.20538;20.10958;19.10345;18.64843;3926;4;83;0.5283154;4966;55712;767
GALAXY;246.4388755;27.73664265;24.82672;21.61567;19.70549;18.88857;18.48836;3926;4;141;0.4425065;5005;55751;464
GALAXY;230.2132666;33.3020821;22.83827;19.99337;18.49053;17.86074;17.50969;3927;4;17;0.272813;4719;55736;630
GALAXY;252.6546525;19.73278903;25.19646;21.77507;20.79209;19.86567;19.89753;3927;4;179;0.5948668;4179;55684;223
GALAXY;240.664803;27.58654467;19.1855;18.02785;17.46046;17.14015;16.97431;3927;4;89;0.08925132;1392;52822;504
GALAXY;192.3450646;37.43512023;22.14838;20.87264;19.02323;18.41182;18.33893;4470;4;55;0.3488444;1989;53772;255
GALAXY;241.4373201;27.18005059;25.1444;22.24196;20.59213;19.56918;19.08057;3927;4;94;0.5246236;4724;55742;775
GALAXY;254.3532997;18.29647358;20.64171;18.761;17.38466;16.83926;16.41518;3927;4;193;0.1709112;1567;53172;167
GALAXY;229.6086882;33.50265484;19.6081;18.12493;17.494;17.12954;16.9521;3927;4;14;0.08400773;1386;53116;510
GALAXY;252.4109335;19.75733601;22.08841;19.65585;18.15532;17.59347;17.20853;3927;4;177;0.2538029;4179;55684;266
GALAXY;236.8022966;29.80142598;25.9803;21.89943;20.07695;19.12181;18.63752;3927;4;62;0.4925865;4726;55712;687
GALAXY;338.6601797;20.30826281;22.74328;22.04119;21.13037;19.93169;19.81143;8102;3;95;0.6866302;6119;56181;425
GALAXY;332.7613218;19.25864004;22.11101;19.30047;17.9669;17.3835;16.94589;8102;3;57;0.2032944;5021;55863;28
QSO;178.5046159;54.3791571;21.77434;21.65529;21.77547;21.72382;21.66425;2821;2;177;1.93908;8228;57423;667
QSO;144.742439;46.96719089;20.87676;20.61914;20.55744;20.54716;20.15146;2821;2;28;1.040196;7316;56710;745
GALAXY;124.2315837;3.643403828;18.75124;17.35669;16.6507;16.25624;16.03383;3015;3;67;0.08687948;1184;52641;177
QSO;11.0594434;11.93530448;20.53318;20.37871;20.16658;20.12587;20.13796;7773;2;382;0.910454;11042;58462;324
STAR;12.22289416;11.86715114;22.864;20.99637;20.77479;20.60149;20.42078;7773;2;390;-0.000596928;6205;56187;882
GALAXY;338.518632;-0.370661907;24.3689;24.89395;23.60455;22.12098;22.23246;4192;3;212;0.7347449;9217;57934;519
GALAXY;357.1515193;-8.043402272;23.96082;20.7098;19.48951;18.539;17.99627;8100;2;301;0.512866;7146;56573;483
STAR;64.87562501;28.13092251;23.78648;22.61023;19.79689;18.18796;17.0124;3557;4;47;0.000103379;1638;52999;440
GALAXY;121.1812474;32.19427429;24.59952;21.29358;19.79466;18.96994;18.36362;2777;3;92;0.3249989;3756;55505;267
QSO;343.4616775;24.3003694;22.70525;22.38366;22.10573;22.19179;21.8687;4836;6;265;1.3983;7657;57309;10
GALAXY;136.5016923;0.981632054;25.72517;22.3239;20.83764;19.82272;19.33796;6574;4;134;0.564565;3819;55540;368
STAR;184.914328;42.41347853;25.10932;23.02978;21.6433;20.57167;19.76941;3893;3;175;0.000417114;8383;57518;912
QSO;187.9734249;42.28881555;23.33354;22.08951;21.85797;22.16238;22.55171;3893;3;190;2.188856;8384;57513;886
GALAXY;131.9277691;11.69047929;23.13947;21.44235;20.37401;19.22886;18.55112;5972;6;111;0.6977692;5287;55952;915
QSO;206.4610082;7.427089641;20.16308;19.48441;19.33299;19.2896;19.08112;3841;5;276;2.369899;4865;55713;821
GALAXY;197.5291513;33.15670811;21.25551;21.1894;20.11088;19.40883;19.03537;4576;1;518;0.521283;6488;56364;997
QSO;132.8301979;44.72715755;20.49408;20.2065;20.22691;20.19625;19.82982;2825;5;187;2.156938;8281;57042;754
GALAXY;153.4476487;56.05904188;22.21266;20.47113;18.82083;18.18008;17.76504;2243;4;223;0.3701703;7086;56658;410
STAR;271.620557;24.81033417;22.25522;20.6308;19.96252;19.69811;19.4611;4828;6;149;-0.000608137;2195;54234;442
GALAXY;160.0565729;23.00492179;20.64593;19.19186;18.71879;18.54982;18.57035;5137;4;310;0.02476665;3250;54883;142
STAR;125.5937528;13.47743121;24.80904;24.19171;22.57484;19.67837;17.97654;5137;4;83;0.000236507;4503;55563;496
GALAXY;191.9743154;7.448371765;26.30048;22.7609;20.80001;19.7631;19.23547;3841;4;181;0.4799453;4835;56016;785
GALAXY;173.3195491;35.88475051;24.42061;20.62309;18.91562;18.34712;18.0602;4504;1;108;0.3306466;4615;55618;280
GALAXY;2.170252439;16.11295854;23.59629;22.13309;20.78996;19.82567;19.41473;1739;6;316;0.4689722;6178;56213;613
GALAXY;348.3358147;25.68558112;23.93912;22.92743;21.78178;20.69582;19.83773;4822;3;437;0.6862542;7705;57332;35
STAR;42.04851482;32.46601939;21.8015;18.61152;17.18664;16.54847;16.14959;5934;4;155;3.69E-05;3210;54876;173
STAR;169.4172365;7.719849854;25.08139;22.03635;21.83119;21.71758;21.24758;3841;5;31;0.000266039;5369;56272;422
QSO;243.4989084;4.309791542;21.23949;20.39086;20.35097;20.25421;19.90627;3910;4;222;2.290692;4807;55687;940
GALAXY;44.37408879;3.017933102;25.76758;22.40062;20.49454;19.55738;19.04092;7675;6;164;0.524215;4257;55480;889
GALAXY;20.78260526;-6.876952044;22.40024;22.38897;20.59912;19.78579;19.13067;8067;4;107;0.5170577;7160;56599;653
GALAXY;150.8800311;4.873686683;22.33767;21.74014;20.67626;19.84993;19.52213;2126;5;212;0.6578612;4800;55674;775
GALAXY;132.8208583;30.87319979;23.83978;22.87262;20.98026;19.61335;18.91918;3606;2;59;0.7165546;5185;55978;63
GALAXY;140.5503268;34.90216421;21.66945;19.51412;18.1168;17.60705;17.25109;3606;2;110;0.2340868;1274;52995;206
GALAXY;145.198313;31.36179329;25.01055;25.68188;22.08467;20.87707;19.95657;4518;5;121;0.8152969;11378;58437;603
GALAXY;141.9489511;35.6620647;22.83775;22.53633;21.14728;20.04436;19.34116;3606;2;119;0.625698;10244;58225;721
GALAXY;140.6792636;35.04811027;21.29609;19.22355;17.69948;17.08743;16.75041;3606;2;111;0.2301247;5810;56358;676
QSO;11.17152657;12.00731689;20.22819;20.18983;19.53547;19.50299;19.35294;7773;2;383;1.319689;11042;58462;282
QSO;19.03452108;11.65873797;21.27749;20.74533;20.38233;20.25976;19.89784;7773;2;435;0.847156;4667;55868;842
GALAXY;239.3319454;28.58180886;17.95408;16.60142;15.99984;15.61901;15.42194;3927;4;78;0.07876735;1391;52817;505
GALAXY;8.348878998;11.94139807;24.67206;22.2909;20.96209;19.79067;19.14412;7773;2;365;0.5262727;6195;56220;957
GALAXY;22.74684115;11.34387918;24.91774;20.74357;18.8595;18.18621;17.75864;7773;2;459;0.3322576;4666;55832;344
GALAXY;204.0055161;46.75826518;21.48696;19.95936;19.76283;18.92081;19.5129;3716;5;125;0.1754265;6748;56371;271
GALAXY;9.913195377;-1.112548439;23.19134;22.69088;21.71342;21.21746;21.42393;4263;1;182;0.6868312;9350;58081;876
GALAXY;333.1101136;-0.41561229;23.68024;22.93109;22.38346;21.54711;21.80262;4192;3;176;0.912237;9237;58022;202
QSO;185.3537258;-2.58133748;20.71064;20.22823;19.8522;19.59367;19.34152;1140;3;217;2.875383;3777;55210;96
QSO;161.751689;-2.308345565;24.64835;22.00048;21.63793;21.72727;22.06267;1140;3;59;3.892739;3786;55563;316
GALAXY;253.5217439;19.05752435;21.94553;21.44538;19.54981;18.87251;18.44153;3927;4;186;0.3766502;4179;55684;50
QSO;341.9767943;10.93485171;21.26236;20.68755;20.53071;20.42182;20.13542;7773;2;192;2.3171;5050;56215;202
STAR;182.9413692;54.44562608;22.25055;20.72246;20.20829;19.9893;19.95151;2821;2;195;-0.0001067;8214;57867;449
GALAXY;332.4965618;19.15757811;25.10085;22.3726;20.71808;19.5564;18.878;8102;3;55;0.5577476;5029;55750;623
QSO;343.7625683;-0.296242798;22.65379;22.52258;21.95554;21.85023;21.03508;4192;3;247;1.166883;9152;58041;564
GALAXY;27.9236364;11.04438829;24.70554;22.40585;20.81726;19.85176;19.57173;7773;2;493;0.4870702;4659;55587;215
STAR;267.6272771;25.41078112;21.8857;20.22803;19.60719;19.38448;19.24491;4828;4;125;-0.000198018;2194;53904;600
GALAXY;129.669106;39.08014163;22.75972;22.33138;20.81303;19.78445;19.16647;2777;3;157;0.6659987;3764;55514;169
GALAXY;335.5467392;22.4328896;24.52573;24.56507;21.85904;20.6003;19.56432;4880;4;55;0.6919469;7583;56958;149
GALAXY;335.5081821;22.47769393;22.79176;22.59233;21.50218;20.39903;19.68608;4880;4;55;0.7572532;7583;56958;193
QSO;159.7712179;22.90220673;18.18608;18.04931;17.75193;17.73256;17.78253;5137;4;308;1.088803;6426;56334;562
STAR;161.1843151;23.1394412;19.2641;17.77944;17.10706;16.82521;16.66497;5137;4;317;-0.000197679;3251;54882;388
GALAXY;1.731275974;16.08166307;23.03303;21.09544;19.1943;18.51469;18.01897;1739;6;314;0.3878387;6172;56269;979
GALAXY;339.6094457;-0.401523854;21.71327;19.96071;18.68786;18.17053;17.76778;4192;3;220;0.1645852;1037;52878;180
GALAXY;333.3540846;-0.320424236;20.32781;19.06632;18.47048;18.13985;17.89553;4192;3;178;0.09479433;1034;52813;185
GALAXY;348.9491566;-1.880417751;24.43789;22.70037;21.57567;20.50386;19.82821;8038;5;145;0.5762115;9154;58013;207
GALAXY;155.3825322;24.20731664;19.28256;17.57086;16.79196;16.39657;16.09448;5112;3;302;0.03836939;2346;53734;594
QSO;157.9167669;24.75035887;18.6783;18.56849;18.28917;18.21018;17.68076;5112;3;318;0.3109573;10456;58136;758
GALAXY;233.5470394;57.86139907;21.55951;19.98315;18.36173;17.77722;17.37204;1412;3;326;0.3526742;615;52347;150
GALAXY;218.4943595;3.672961844;27.10127;21.44564;19.76561;18.72035;18.13984;2190;2;244;0.5233803;4780;55682;259
GALAXY;219.4043344;3.629358574;22.53234;21.49669;19.64375;18.98023;18.57421;2190;2;250;0.378709;4779;55656;486
GALAXY;8.497824975;15.34199651;23.2733;22.18751;20.6321;19.74818;19.26084;1904;4;205;0.4870008;6191;56248;959
GALAXY;12.27911585;15.17629618;23.66623;21.46025;19.74733;18.76491;18.23895;1904;4;230;0.4779218;419;51879;622
GALAXY;40.12550638;3.504013406;23.04723;22.91427;22.99111;22.17126;21.21337;7718;2;256;0.9313549;9417;58055;584
GALAXY;173.9845106;53.8740478;21.96245;19.88753;18.29062;17.68828;17.34309;2821;2;159;0.3390239;1014;52707;51
GALAXY;171.7118263;20.49908446;18.92981;17.81624;17.39396;17.10856;16.93358;5313;6;84;0.04427182;2498;54169;410
QSO;13.18660771;11.75612291;22.87967;21.90276;22.01376;21.87333;21.08294;7773;2;396;2.370471;6206;56245;282
STAR;253.2321808;20.18198182;21.94906;19.48184;18.09411;16.86405;16.20561;3927;6;180;0.000116481;1568;53169;485
GALAXY;146.439282;2.237543307;23.64582;22.5292;21.11902;19.68053;19.12656;1907;4;159;0.6780099;4743;55645;493
GALAXY;154.9992571;2.519429043;19.75519;18.16221;17.35794;16.94063;16.70611;1907;4;216;0.1045373;503;51999;481
GALAXY;129.5777165;29.04539998;25.40071;21.92014;19.56422;18.92485;18.5644;3606;2;37;0.4664853;4454;55536;800
GALAXY;135.6885486;32.36543236;19.77462;18.29778;17.87563;17.65845;17.66204;3606;2;78;0.049568;1271;52974;628
STAR;169.863745;27.79838512;24.98477;21.998;20.30022;18.3646;17.31518;5112;6;392;7.99E-05;2216;53795;376
GALAXY;216.7386149;3.708190502;26.25848;21.962;20.22898;19.7197;19.31304;2190;2;232;0.3630285;584;52049;22
GALAXY;222.879539;3.359325321;20.54891;18.77037;17.51467;17.01419;16.62887;2190;2;273;0.1833921;588;52045;230
GALAXY;6.291804013;15.29240195;24.36881;22.74608;20.75183;19.90575;19.35456;1904;4;191;0.5043948;6184;56267;943
STAR;263.0604632;34.13579959;17.84751;16.52499;15.95014;15.68786;15.5457;5327;4;76;-0.000368276;2253;54551;445
GALAXY;244.9043201;24.95609665;24.38507;21.25443;19.49255;18.78668;18.41773;3927;4;120;0.3778846;4727;55693;4
GALAXY;338.7927186;20.33371814;25.72364;23.03721;21.04014;19.72521;18.91054;8102;3;96;0.6592138;5025;55836;645
QSO;181.4076355;54.4684317;20.63578;20.41439;20.31782;20.00517;19.82034;2821;2;189;1.69534;8229;57430;166
STAR;144.8116911;46.92047672;24.45142;21.51859;20.46167;19.93067;19.51852;2821;2;28;-0.000186219;7316;56710;755
GALAXY;344.1731191;19.13264576;23.33889;21.98714;20.46255;19.46317;18.94339;8096;4;128;0.63022;5027;56218;931
GALAXY;344.7363945;19.21243647;25.25439;22.75798;21.25602;20.01969;19.5348;8096;4;132;0.5368775;6128;56236;557
GALAXY;345.4177658;19.3134168;27.15929;22.70051;21.00303;19.87887;19.46968;8096;4;136;0.5405381;6128;56236;679
QSO;2.172225938;16.19665602;21.5802;20.57191;20.3905;20.20049;20.35182;1739;6;316;2.89748;6178;56213;578
STAR;167.6970195;-2.448301392;22.45479;21.62992;21.44386;21.35073;20.83829;1140;3;99;0.00046142;3773;55240;70
GALAXY;338.7670717;20.22490516;22.55764;23.12675;21.87608;20.6733;19.82829;8102;3;95;0.695454;7585;57190;329
QSO;29.98416518;10.84376415;19.15626;17.8138;16.79765;16.2748;15.88608;7773;2;506;0.1403166;4656;55828;123
GALAXY;137.2969378;43.66577476;22.79371;22.47182;21.2807;20.13826;19.31719;2777;3;206;0.680968;8282;57041;37
GALAXY;116.562614;27.52112922;19.75681;18.48689;17.47693;16.9563;16.61813;2777;3;51;0.1463097;1059;52618;193
GALAXY;136.7230978;43.4895958;19.39632;17.27617;16.17484;15.65449;15.20023;2777;3;203;0.119708;831;52294;531
GALAXY;119.125577;30.24383019;25.62371;22.70023;21.12361;19.93859;19.25019;2777;3;74;0.6291084;3752;55236;159
STAR;139.0216404;10.84679253;22.92909;22.60838;20.95995;19.55458;18.62085;3830;4;147;-0.000137334;5302;55896;39
GALAXY;6.92376243;-7.171385604;27.36843;22.43094;20.83237;19.63248;18.86167;8067;4;15;0.6554138;7151;56598;855
GALAXY;7.422320376;-7.092414458;21.7794;20.64518;18.97875;18.36097;17.95331;8067;4;18;0.3134138;7152;56660;608
QSO;353.0493562;2.058503831;22.59323;22.02358;21.86487;21.92594;22.55944;7717;3;283;0.53741;4282;55507;440
STAR;207.9757918;7.515927906;18.98802;17.92512;17.56229;17.41123;17.41349;3841;5;286;-2.13E-05;1805;53875;458
QSO;164.1158186;23.56505075;20.67499;19.86842;19.77686;19.74236;19.43085;5137;4;335;2.308915;6418;56354;382
QSO;116.0958893;30.45661151;20.16698;20.08098;20.14427;19.85855;19.66567;2825;5;57;2.050636;10290;58099;69
GALAXY;336.9000742;18.1343554;21.83943;21.77629;20.60705;19.80544;19.55602;8096;4;82;0.5490854;5024;55854;243
GALAXY;1.450489567;16.18984861;20.56053;18.51112;17.4491;16.99342;16.61498;1739;6;312;0.1133807;751;52251;445
GALAXY;0.897616927;-8.05245344;24.55362;21.62312;20.58913;19.78403;19.89672;8100;2;326;0.6165675;7148;56591;373
GALAXY;346.5385253;-1.831567186;22.54264;21.88185;20.5309;19.73092;19.27667;8038;5;129;0.4907817;4361;55831;646
GALAXY;347.3297384;-1.753196014;22.57449;22.28132;20.28931;19.36939;18.81012;8038;5;135;0.4816059;4361;55831;849
GALAXY;184.9315004;7.664289815;20.18216;18.35232;17.27345;16.83153;16.47283;3841;4;134;0.1373082;1626;53472;319
GALAXY;198.6633483;7.316756481;25.32373;22.30239;20.49459;19.5481;18.78767;3841;4;225;0.5038501;4840;55690;591
GALAXY;336.8458991;19.98816058;22.24721;19.30773;17.92509;17.39431;17.07972;8102;3;83;0.2128639;6118;56189;366
STAR;329.5320046;18.50314166;23.20142;21.65676;20.38945;19.48816;18.9276;8102;3;36;-0.000172228;5020;55852;895
GALAXY;330.9304162;18.76884312;25.2542;22.60953;21.0792;19.95091;19.54768;8102;3;45;0.5991167;5021;55863;333
GALAXY;331.0818191;18.82351478;22.64225;20.81143;19.0024;18.40315;17.95367;8102;3;46;0.3423518;5028;55836;782
STAR;345.0282098;21.08373087;21.62115;21.34279;20.16104;18.65479;17.66638;8102;3;135;-7.89E-05;6591;56535;363
GALAXY;22.82819558;11.479543;21.00585;19.00955;17.46504;16.80119;16.35259;7773;2;459;0.2151138;4666;55832;317
GALAXY;316.825682;7.865024986;23.53811;23.37748;21.15316;19.82874;19.44676;7773;2;25;0.6264167;4079;55363;617
GALAXY;40.49767767;3.560160934;23.20226;24.53431;23.82936;22.09652;22.75254;7718;2;259;0.5301569;9416;58098;314
STAR;242.7101015;17.8369965;20.23238;19.24946;19.04356;18.94587;18.91817;4671;1;99;-0.000275899;3289;54910;599
STAR;241.056947;18.48223578;20.32845;19.4245;19.06592;18.87761;18.87157;4671;1;88;0.000164848;3289;54910;364
GALAXY;160.7244709;25.20411955;22.75712;22.79135;22.28076;21.63456;21.83693;5112;3;335;0.8744593;10461;58142;962
GALAXY;6.125301287;-1.169407719;24.20276;21.75866;20.16875;19.16595;18.59111;4263;1;156;0.5021392;4220;55447;395
GALAXY;253.903288;21.64624399;22.23756;22.52513;20.68222;19.46133;18.83153;3926;4;202;0.6598983;4178;55653;303
GALAXY;136.129033;32.76938051;22.93348;20.57471;18.853;18.21338;17.80852;3606;2;82;0.3264136;5809;56353;544
GALAXY;341.7962244;20.75688464;22.41543;22.18979;20.56977;19.67478;19.26723;8102;3;115;0.4833596;6120;56206;347
GALAXY;242.895108;26.35413005;18.45179;16.53581;15.60624;15.17542;14.84507;3927;4;104;0.07519736;1393;52824;152
GALAXY;254.3174856;18.45263092;19.01066;17.92526;17.26291;16.91928;16.64811;3927;4;192;0.03282385;1567;53172;166
GALAXY;238.1899641;29.17720376;20.40665;18.22079;17.13235;16.68729;16.34318;3927;4;71;0.141691;1391;52817;334
STAR;179.7502037;-2.673389921;20.85931;19.81905;19.72314;19.69964;19.64133;1140;3;179;0.000756407;3776;55209;170
STAR;189.8541471;-2.636599144;16.58941;15.12915;14.56525;14.38807;14.31969;1140;3;247;0.000104294;2897;54585;319
GALAXY;241.4590468;27.24533052;18.25378;16.58313;15.89249;15.52189;15.30048;3927;4;94;0.04541309;1392;52822;593
GALAXY;244.7729047;25.20518652;21.64464;18.87211;17.81801;17.34803;16.99254;3927;4;118;0.1109725;1576;53496;139
GALAXY;12.27257455;-8.260558093;19.3772;17.42771;16.41689;16.00279;15.66193;8095;2;381;0.1137839;7155;56629;418
QSO;181.0716073;54.33957169;20.51585;20.24112;20.2057;19.90496;19.80293;2821;2;187;1.621598;6688;56412;402
QSO;182.7731945;54.42137895;21.52916;21.66393;21.72251;21.77715;21.13445;2821;2;194;2.081617;8214;57867;482
GALAXY;338.5802286;20.21664912;22.12341;21.55746;20.58542;19.85185;19.40779;8102;3;94;0.6489189;6119;56181;433
QSO;346.5019246;12.66310264;22.28893;21.60472;21.37432;21.39408;20.87335;7773;5;222;2.701146;6154;56237;832
GALAXY;327.7840794;9.458564974;23.03421;21.76178;20.05691;18.89577;18.4569;7773;2;98;0.573716;4095;55497;487
GALAXY;5.24539637;12.04978632;26.19394;23.96235;21.2559;19.88415;19.21673;7773;2;344;0.6742269;6190;56210;481
GALAXY;338.1475803;-0.243602104;20.14869;19.24574;18.69993;18.42369;18.31868;4192;3;210;0.2086649;377;52145;320
GALAXY;235.2159434;30.77876451;24.28438;21.98381;20.70392;19.78396;19.39429;3927;4;50;0.4861198;4722;55735;839
GALAXY;251.0647535;20.79603961;18.27611;17.07667;16.60136;16.33783;16.16579;3927;4;166;0.0323952;1569;53168;424
GALAXY;232.5869424;32.17321231;19.03692;17.14964;16.19931;15.74957;15.4193;3927;4;33;0.09138044;1387;53118;40
GALAXY;229.2830273;33.52074333;20.41988;18.59942;17.66353;17.25764;16.90723;3927;4;12;0.1115472;1386;53116;484
STAR;354.438295;32.19565345;19.26509;18.22012;17.82656;17.64138;17.58769;8111;4;49;-0.000424118;7760;58080;472
GALAXY;132.3677285;40.84110788;22.92736;24.14672;21.71825;20.6274;19.96332;2777;3;175;0.6480679;8295;57401;95
GALAXY;343.6384881;23.7716558;23.76551;22.51311;20.61219;19.72001;19.1272;4880;4;106;0.5773105;6588;56536;397
